tale_id,gold_status,collection,volume_no,source_ref,rights_status,content_description,set,sampling_version,local_type_scheme,local_type,mapping_status,mapping_relation,type_count,atu_labels,atu_labels_json
era_vene_2_161_14,ok,"ERA, Vene",2,"ERA, Vene 2, 161/5 (14)",open,Сказка про царей.,core,v1_20251230,,,not_needed_native_atu,exact,6,['707'],"[""707""]"
era_vene_2_622_5,ok,"ERA, Vene",2,"ERA, Vene 2, 622/6 (5)",open,Сказка об аленьком цветочке.,core,v1_20251230,,,not_needed_native_atu,exact,2,['425C'],"[""425C""]"
era_vene_2_748_27,ok,"ERA, Vene",2,"ERA, Vene 2, 748/9 (27)",open,"Рассказ про чертей. [Три человека просятся ночевать к старухе-чертихе. Она укладывает их в конюшне, утром не выпускает. Два выскочили и убежали, третий остался. Отмаливает старуху три ночи, от чертей защищает круг. На третью ночь пришёл сам чёрт, человек оглянулся в его глаза, его схватили и растерзали.]",core,v1_20251230,,,not_needed_native_atu,exact,3,['307'],"[""307""]"
era_vene_4_367_1,ok,"ERA, Vene",4,"ERA, Vene 4, 367/402 (1)",open,"Ванюшка-дурачек. [Мужик просит сыновей покараулить три ночи после смерти. Первым должен идти старший сын, но он просит идти младшего. Ванюшка приходит на могилу, ударяет кием вил, могила рассыпается и отец встаёт. Отец призывает Сивку-бурку, пролезает через уши и становиться молодым, ночь ездит и возвращается в могилу._x000D_
На следующую ночь всё повторяется, когда Ваня идёт вместо среднего брата. На третью ночь идёт опять, потому что братья отказались. Перед уходом в могилу, отец отдаёт Сивку-Бурку Ванюше._x000D_
Царь отдаёт свою дочь тому, кто поцелует её, через 12 венцов. Братья не дают Ванюшке идти, но он идёт в лес, призывает Сивку, целует только церез 10 венцов и пропадает. На следующий день, всё повторяется, но целует через 11 венцов. На третьй день всё повторяется, царевна ударяет его в лоб перстнем. Ваня зматывает лоб._x000D_
Царевна ищет своего жениха, призывая всех на пир. Братья приводят Ванюшу на пир, он и царевна женяться. Спустя время, царь видит барана злоторогого (потом золотую свинью, потом кобылу и одиннадцать жеребцов) и велит зятьём их поймать. Братья едут на хороших конях, Ваня на водовозке, сидя задом наперёд. Ваня убивает кобылу за городом и призывает Сивку-бурку. Ловит барана, раскидывает шатёр в поле. Отрезает пальцы и кожу у свояков, продавая животных._x000D_
По возвращении, Ванюша заставляет свояков идти в баню с царём, а они не раздеваются. Ванюша силой раздевает их и розаблачает их.]",core,v1_20251230,,,not_needed_native_atu,exact,4,"['530', '530A']","[""530"", ""530A""]"
era_vene_4_403_2,ok,"ERA, Vene",4,"ERA, Vene 4, 403/29 (2)",open,Сказка.,core,v1_20251230,,,not_needed_native_atu,exact,6,['707'],"[""707""]"
era_vene_6_406_8,ok,"ERA, Vene",6,"ERA, Vene 6, 406/20",open,Сказка про царя и явоных двянадцать сыновей.,core,v1_20251230,,,not_needed_native_atu,exact,6,['707'],"[""707""]"
era_vene_6_421_9,ok,"ERA, Vene",6,"ERA, Vene 6, 421/38",open,"Сказка по Матюшу-дурачка. [У отца три сына, дво умных, третий - Матюша дурачок. Отец присмерти велит караулить его могилу три ночи. После похорон, старшим братьям боязно караулить, просят младшего. На первую ночь даёт отец-покойник Матюше козу, которую отдаёт старшему. На вторую ночь отец даёт свинью с золотым хвостом, Матюша отдаёт её среднему. На третью ночь, отец призывает коня Сивку-Бурку. Матюша влеза в одно конье ухо, вылезает из другого - становится красавцем; затем обратно - становится как раньше, коня отпускает в поле._x000D_
Царевна приказывает всем молодцам сватать её. Она сидит в высокой башне, тот кто выше всех прыгнет и достанет её перстень - бедет её мужем. Старшие братья идут, Матюша призывает Сивку-Бурку, когда они уходят. Матюша-красавец сбивает братьев плетью с козы и свиньи, проежая мимо. Допрыгивает до окна царевны, она вбивает кольцо в лоб, который он прячет за повязкой._x000D_
Царевна ищет жениха, Матюша приходит ко дворцу нищим. Царевна находит его, но падает в обморок - идти за нищего надо. Её сёстры смеются над ней. Делать нечего Матюша и царевна женяться._x000D_
Царь велит затьям поймать жар-птицу, Матюша ловит её с помощью Сивки-Бурки. Встречает с зятьями, отдаёт им птицу за мизинцы. Матюша привозит ворон, царь гневается, царевна плачет, думая что муж дурак._x000D_
Царь велит затьям привезти лебедицу с лебедятами, поздже лошадь с жеребятами. Всё повторяется с зятьями. Царь приказывает затопить баню, обман зятьей открывается, царь даёт Матюше три-четверти государства._x000D_
Матюша просит у Бурки сделать его всегда красивым. Жена узнаёт в нём того, кто до окна допрыгнул.]",core,v1_20251230,,,not_needed_native_atu,exact,4,"['530', '530A']","[""530"", ""530A""]"
era_vene_7_95_1,ok,"ERA, Vene",7,"ERA, Vene 7, 95/9 (1)",open,"Зверь-Норка (сказка). [Из царского зверинца Зверь-Норка уносит зверей. Царь прказывает сыновья караулить, старшие ночами спят, младший увидель где зверь спрятался по камнем. У старших небыло сил отвалить камень, младших смог. Под камнем дыра - старшие боятся идти. Младший привязывает канат к поясу, велит старшим держать верёвку и спускает в подземное царство. У Зверя-Норки три сестры, которых дурак обещает спасти, с их помощью побеждает Змея. Братья завидуют и решают погубить младшего, он их перехитрил и выжил._x000D_
Во время дождя дурак прикрывает птенцов своей одеждой. Большая мать - мать птенцов - в благодарность выностит наверх дурака с сестрами. Дома младший обличает злых братьев.]",core,v1_20251230,,,not_needed_native_atu,exact,2,['301'],"[""301""]"
era_vene_15_134_3,ok,"ERA, Vene",15,"ERA, Vene 15, 134/6 (3)",open,"[Мачеха посылает падчерицу в баню прясть лён. Она берёт лён и петуха и идёт в баню. Туда приходит красивый парень - чёрт - и сватает её. Она просит принести ей одежду, чёрт приносит и пропадает с криком петуха. Мачеха посылает свою дочку в баню, увидя какое добро падчерица получила. Дочка берёт лён, но не петуха. Её тоже сватает чёрт, но петух не кричит, и чёрт разрывает дочку, оставляе шкуру на каменке].",core,v1_20251230,,,not_needed_native_atu,exact,3,['480A'],"[""480A""]"
era_vene_15_308_4,ok,"ERA, Vene",15,"ERA, Vene 15, 308/12 (4)",open,"[Дед, баба и их дочери пошли ткать пояса в баню. Туда просится погреться волк, пускают. Все кроме Тани - дедушкиной дочки, пугаются и убегают. Волк сватает её за своего сына, Таня отвечает, что у неё нет приданого. Волк говорит сыну принести то, что невеста требует. Всё приносится и девушка соглашается. Выходят из бани, она просит петухов запеть, чёрт и сын проваливаются, Таня остаётся с приданым._x000D_
Мачеха посылает свою дочку в баню, увидя новое платье на падчерице. Дочка впускает волка в баню, он сватает её за сына, дочка говорит, что у неё нет приданого, сын приносит. Девка ничего не может больше просить, волк её съедает].",core,v1_20251230,,,not_needed_native_atu,exact,3,['480A'],"[""480A""]"
